Block_ID,VRR_Frequency,Size_Degree,Gabor_Frequency,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
4,8,16,0.5,0.135,0,1,0,0
4,8,16,0.5,0.1405093688329026,1,1,1,1
4,8,16,0.5,0.1419731964534466,2,0,0,1
4,8,16,0.5,0.14340796802455,3,1,1,1
4,8,16,0.5,0.1448164184484382,4,0,1,0
4,8,16,0.5,0.1405645669998565,5,1,0,0
4,8,16,0.5,0.1360955824981625,6,1,1,1
4,8,16,0.5,0.1376399033370094,7,0,1,0
4,8,16,0.5,0.1326731847135577,8,1,1,1
4,8,16,0.5,0.1345427672112054,9,0,1,0
4,8,16,0.5,0.1291129406365153,10,1,1,1
4,8,16,0.5,0.1309534016025523,11,0,1,0
4,8,16,0.5,0.1256178552914461,12,1,1,1
4,8,16,0.5,0.1274372680597159,13,1,0,0
4,8,16,0.5,0.1221721268689436,14,1,1,1
4,8,16,0.5,0.1239786355495997,15,1,1,1
4,8,16,0.5,0.1257852729064009,16,1,1,1
4,8,16,0.5,0.1275943718664597,17,1,1,1
4,8,16,0.5,0.1294081939819985,18,0,0,1
4,8,16,0.5,0.1312289399392574,19,0,0,1
4,8,16,0.5,0.1330587590153445,20,0,0,1
4,8,16,0.5,0.1348997576371838,21,1,1,1
4,8,16,0.5,0.1364509279417323,22,0,1,0
4,8,16,0.5,0.1313653161476956,23,1,1,1
4,8,16,0.5,0.1331857290129241,24,0,1,0
4,8,16,0.5,0.1279048540722609,25,1,1,1
4,8,16,0.5,0.1296991143983229,26,0,1,0
4,8,16,0.5,0.1245033040819764,27,0,0,1
4,8,16,0.5,0.1262790937949636,28,0,1,0
4,8,16,0.5,0.1211456771808317,29,0,0,1
0,8,16,1.0,0.1014999999999999,0,0,0,1
0,8,16,1.0,0.116670185512986,1,0,1,0
0,8,16,1.0,0.1110787556773914,2,0,1,0
0,8,16,1.0,0.1050725379403825,3,0,0,1
0,8,16,1.0,0.1071600422652527,4,1,1,1
0,8,16,1.0,0.1091795634507891,5,0,1,0
0,8,16,1.0,0.1030362677934437,6,0,0,1
0,8,16,1.0,0.1051807092718696,7,0,0,1
0,8,16,1.0,0.1072508358195163,8,0,0,1
0,8,16,1.0,0.1092539732365305,9,1,0,0
0,8,16,1.0,0.103161832371422,10,0,0,1
0,8,16,1.0,0.1052880293951385,11,0,1,0
0,8,16,1.0,0.098378343248187,12,0,0,1
0,8,16,1.0,0.1010239868927649,13,1,0,0
0,8,16,1.0,0.0932215857945988,14,1,1,1
