Block_ID,VRR_Frequency,Size_Degree,Gabor_Frequency,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,8,16,1.0,0.10149999999999999,0,0,0,1
0,8,16,1.0,0.11667018551298601,1,0,1,0
0,8,16,1.0,0.11107875567739141,2,0,1,0
0,8,16,1.0,0.1050725379403825,3,0,0,1
0,8,16,1.0,0.10716004226525279,4,1,1,1
0,8,16,1.0,0.10917956345078915,5,0,1,0
0,8,16,1.0,0.1030362677934437,6,0,0,1
0,8,16,1.0,0.10518070927186966,7,0,0,1
0,8,16,1.0,0.10725083581951636,8,0,0,1
0,8,16,1.0,0.10925397323653052,9,1,0,0
0,8,16,1.0,0.10316183237142201,10,0,0,1
0,8,16,1.0,0.1052880293951385,11,0,1,0
0,8,16,1.0,0.098378343248187,12,0,0,1
0,8,16,1.0,0.10102398689276494,13,1,0,0
0,8,16,1.0,0.09322158579459887,14,1,1,1
0,8,16,1.0,0.09590777282484768,15,0,0,1
0,8,16,1.0,0.098562466474309,16,1,0,0
0,8,16,1.0,0.09073365196911624,17,0,0,1
0,8,16,1.0,0.09343914353395386,18,1,1,1
0,8,16,1.0,0.09610742232726015,19,0,0,1
0,8,16,1.0,0.09874527438467225,20,1,1,1
0,8,16,1.0,0.10135879122602315,21,1,0,0
0,8,16,1.0,0.09365479196188962,22,1,1,1
0,8,16,1.0,0.09630548371890706,23,1,1,1
0,8,16,1.0,0.09892678561700517,24,1,0,0
0,8,16,1.0,0.09120031948701561,25,0,1,0
0,8,16,1.0,0.08320268825337385,26,0,0,1
0,8,16,1.0,0.08599997903268525,27,0,0,1
0,8,16,1.0,0.08873950448928004,28,1,1,1
0,8,16,1.0,0.09143035785802464,29,0,1,0
1,8,16,4.0,0.06106606830800992,0,0,1,0
1,8,16,4.0,0.07401942104320197,1,0,1,0
1,8,16,4.0,0.06361707971237779,2,0,0,1
1,8,16,4.0,0.06738360147157303,3,0,1,0
1,8,16,4.0,0.05432714281839187,4,0,0,1
1,8,16,4.0,0.0595511759142792,5,0,0,1
1,8,16,4.0,0.06384241311269381,6,0,0,1
1,8,16,4.0,0.06756775950962174,7,0,0,1
1,8,16,4.0,0.07102370412669774,8,1,1,1
1,8,16,4.0,0.07425678038497192,9,0,1,0
1,8,16,4.0,0.06406511984185276,10,0,0,1
1,8,16,4.0,0.06775009873917182,11,0,0,1
1,8,16,4.0,0.07117150471367358,12,1,1,1
1,8,16,4.0,0.07437441578827494,13,1,1,1
1,8,16,4.0,0.0773932239771727,14,0,1,0
1,8,16,4.0,0.0679306391733355,15,1,1,1
1,8,16,4.0,0.07131811345059899,16,0,1,0
1,8,16,4.0,0.06049706018158159,17,0,0,1
1,8,16,4.0,0.06450282262282346,18,0,1,0
1,8,16,4.0,0.05034332022876272,19,1,1,1
1,8,16,4.0,0.05581013408969795,20,0,0,1
1,8,16,4.0,0.060805806753224674,21,1,1,1
1,8,16,4.0,0.06471790154857253,22,0,0,1
1,8,16,4.0,0.06828640403889528,23,0,1,0
1,8,16,4.0,0.05616911604718122,24,0,0,1
1,8,16,4.0,0.06110413760650432,25,1,1,1
1,8,16,4.0,0.06493051955654301,26,0,0,1
1,8,16,4.0,0.06846166873891554,27,1,1,1
1,8,16,4.0,0.07175084392366879,28,1,1,1
1,8,16,4.0,0.07483785996908433,29,0,0,1
2,8,16,8.0,0.060095801241939965,0,1,1,1
2,8,16,8.0,0.08485124178009998,1,1,1,1
2,8,16,8.0,0.08745667777159745,2,0,1,0
2,8,16,8.0,0.07935689174441592,3,0,0,1
2,8,16,8.0,0.08217847201945104,4,0,1,0
2,8,16,8.0,0.07337224512967502,5,0,0,1
2,8,16,8.0,0.07648187765980156,6,0,0,1
2,8,16,8.0,0.07942416934562584,7,0,1,0
2,8,16,8.0,0.07021650445652913,8,1,1,1
2,8,16,8.0,0.07349206082620911,9,0,0,1
2,8,16,8.0,0.07657405352155626,10,1,1,1
2,8,16,8.0,0.07949153128141534,11,0,1,0
2,8,16,8.0,0.07036634154194807,12,1,1,1
2,8,16,8.0,0.07361116401264278,13,1,1,1
2,8,16,8.0,0.07666593644220027,14,0,0,1
2,8,16,8.0,0.07955895497610331,15,1,1,1
2,8,16,8.0,0.08231285894020372,16,1,1,1
2,8,16,8.0,0.08494613596536427,17,1,1,1
2,8,16,8.0,0.08747414829529407,18,1,1,1
2,8,16,8.0,0.08990985448092978,19,0,1,0
2,8,16,8.0,0.0823583747270312,20,1,1,1
2,8,16,8.0,0.08497146171154171,21,1,1,1
2,8,16,8.0,0.08748072871868484,22,1,1,1
2,8,16,8.0,0.08989888618519593,23,1,1,1
2,8,16,8.0,0.09223680995248942,24,0,0,1
2,8,16,8.0,0.09450391396132195,25,1,1,1
2,8,16,8.0,0.09670843147141309,26,0,1,0
2,8,16,8.0,0.08988894793991181,27,0,1,0
2,8,16,8.0,0.08245033082565657,28,0,0,1
2,8,16,8.0,0.08502381916434759,29,0,1,0
3,8,16,2.0,0.06663028589659693,0,1,1,1
3,8,16,2.0,0.08931328448071982,1,1,1,1
3,8,16,2.0,0.09176798902290312,2,0,0,1
