Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
13,0.5,0.5,0.0524999999999998,0,0,0,1
13,0.5,0.5,0.0800449309493147,1,0,1,0
13,0.5,0.5,0.0708851285875977,2,0,0,1
13,0.5,0.5,0.0741183165049656,3,1,1,1
13,0.5,0.5,0.077170726076014,4,0,0,1
13,0.5,0.5,0.0800692715452621,5,1,1,1
13,0.5,0.5,0.0828355823572056,6,1,0,0
13,0.5,0.5,0.0741913337838217,7,1,1,1
13,0.5,0.5,0.0772186119139991,8,0,1,0
13,0.5,0.5,0.0677021787894645,9,1,0,0
13,0.5,0.5,0.0560565325444486,10,1,1,1
13,0.5,0.5,0.0603349044781725,11,1,1,1
13,0.5,0.5,0.0642345747471199,12,1,0,0
13,0.5,0.5,0.0514401387539867,13,0,1,0
13,0.5,0.5,0.0399999999999999,14,1,1,1
13,0.5,0.5,0.0399999999999999,15,0,0,1
13,0.5,0.5,0.0455922343422251,16,0,1,0
13,0.5,0.5,0.0399999999999999,17,0,0,1
13,0.5,0.5,0.0399999999999999,18,0,0,1
13,0.5,0.5,0.0399999999999999,19,0,0,1
13,0.5,0.5,0.0460510589347579,20,0,0,1
13,0.5,0.5,0.0521876658180182,21,0,1,0
13,0.5,0.5,0.0399999999999999,22,0,0,1
13,0.5,0.5,0.0399999999999999,23,0,0,1
13,0.5,0.5,0.0465022568396246,24,1,1,1
13,0.5,0.5,0.0525456330646466,25,0,1,0
13,0.5,0.5,0.0399999999999999,26,0,0,1
13,0.5,0.5,0.0400610284165257,27,1,1,1
13,0.5,0.5,0.0469461056408252,28,0,0,1
13,0.5,0.5,0.0528493117852576,29,1,1,1
13,0.5,0.5,0.0573148289370646,30,1,1,1
13,0.5,0.5,0.0613498381958851,31,0,0,1
13,0.5,0.5,0.0650490233120446,32,0,0,1
13,0.5,0.5,0.0684778753649075,33,1,1,1
13,0.5,0.5,0.0716840099240544,34,0,1,0
13,0.5,0.5,0.0615463746523262,35,1,1,1
13,0.5,0.5,0.0652076656860812,36,0,0,1
13,0.5,0.5,0.0686041680270907,37,1,1,1
13,0.5,0.5,0.0717820870214748,38,1,1,1
13,0.5,0.5,0.0747764361726357,39,0,0,1
0,0.5,1,0.0789694443269334,0,0,0,1
0,0.5,1,0.0984111054892781,1,0,0,1
0,0.5,1,0.1006028420020804,2,0,1,0
0,0.5,1,0.0938644637912347,3,0,1,0
0,0.5,1,0.0864481436511035,4,1,0,0
0,0.5,1,0.0778639700863569,5,0,1,0
0,0.5,1,0.0666481739474156,6,0,1,0
0,0.5,1,0.0536408894351056,7,1,0,0
0,0.5,1,0.0399999999999999,8,0,0,1
0,0.5,1,0.0431715640840152,9,0,0,1
0,0.5,1,0.0489735968462123,10,1,0,0
0,0.5,1,0.0399999999999999,11,0,0,1
0,0.5,1,0.0399999999999999,12,1,1,1
0,0.5,1,0.0438506305931865,13,1,1,1
0,0.5,1,0.0495354648469163,14,1,1,1
0,0.5,1,0.0546064302292406,15,1,1,1
0,0.5,1,0.0592438637885113,16,1,1,1
0,0.5,1,0.0635582671882766,17,1,1,1
0,0.5,1,0.0676232313631885,18,0,0,1
0,0.5,1,0.0714907756213447,19,0,0,1
0,0.5,1,0.07519936797818,20,0,0,1
0,0.5,1,0.0787784863256819,21,1,0,0
0,0.5,1,0.0679406592278965,22,0,0,1
0,0.5,1,0.0717729498375263,23,1,1,1
0,0.5,1,0.0754508310206565,24,1,0,0
0,0.5,1,0.0642710335759197,25,0,0,1
0,0.5,1,0.0682544382593032,26,0,0,1
0,0.5,1,0.0720522722844855,27,1,1,1
0,0.5,1,0.075700077204259,28,0,0,1
0,0.5,1,0.07918396895494,29,0,0,1
0,0.5,1,0.082012217330055,30,1,0,0
0,0.5,1,0.0723288008426893,31,0,0,1
0,0.5,1,0.0759471458498598,32,1,0,0
0,0.5,1,0.0649655433185213,33,1,1,1
0,0.5,1,0.068871382628783,34,1,1,1
0,0.5,1,0.072602591869677,35,0,0,1
0,0.5,1,0.0761920754640966,36,0,1,0
0,0.5,1,0.0653062432587945,37,1,1,1
0,0.5,1,0.0691747078657002,38,0,1,0
0,0.5,1,0.0573101052153846,39,0,0,1
3,0.5,16,0.0879999999999999,0,0,0,1
3,0.5,16,0.1055157021759256,1,0,0,1
3,0.5,16,0.1075353179955848,2,1,0,0
3,0.5,16,0.1013511014955049,3,1,0,0
3,0.5,16,0.0946407835406869,4,1,1,1
3,0.5,16,0.0969768649771299,5,0,1,0
3,0.5,16,0.0898172795113659,6,1,1,1
3,0.5,16,0.0923350173378693,7,1,1,1
3,0.5,16,0.0947461569811188,8,1,1,1
3,0.5,16,0.0970626368814518,9,1,1,1
3,0.5,16,0.0992947650090368,10,0,0,1
3,0.5,16,0.1014515315734602,11,0,0,1
3,0.5,16,0.1035408489374772,12,1,0,0
3,0.5,16,0.0971479748839857,13,1,0,0
3,0.5,16,0.0901119156409173,14,0,0,1
3,0.5,16,0.0925848811392693,15,1,0,0
3,0.5,16,0.0844903785367661,16,0,0,1
3,0.5,16,0.0876341101361237,17,0,0,1
3,0.5,16,0.0902571521152354,18,0,0,1
3,0.5,16,0.0927082607637182,19,0,0,1
3,0.5,16,0.0950579389040275,20,1,0,0
3,0.5,16,0.0878323607510267,21,1,1,1
3,0.5,16,0.0904010211609601,22,0,0,1
3,0.5,16,0.0928306153648756,23,1,1,1
3,0.5,16,0.0951604215073899,24,1,1,1
3,0.5,16,0.097401328604589,25,0,0,1
3,0.5,16,0.0995627874164419,26,0,0,1
3,0.5,16,0.101653078240031,27,1,1,1
3,0.5,16,0.1036795181226865,28,1,1,1
3,0.5,16,0.1056486235382782,29,0,1,0
3,0.5,16,0.0996292845081467,30,1,1,1
3,0.5,16,0.1017035209147791,31,0,0,1
3,0.5,16,0.1037147638397725,32,0,1,0
3,0.5,16,0.0975679669812525,33,1,0,0
3,0.5,16,0.0908245755773363,34,1,1,1
3,0.5,16,0.0931916061417297,35,0,1,0
3,0.5,16,0.0855722713489616,36,0,0,1
3,0.5,16,0.0885111928439798,37,1,1,1
3,0.5,16,0.0909631265376095,38,1,1,1
3,0.5,16,0.093309938568843,39,1,0,0
12,0.5,full,0.0864177019644249,0,1,1,1
12,0.5,full,0.104247693837797,1,0,0,1
12,0.5,full,0.1062962026422638,2,0,0,1
12,0.5,full,0.1082925312524456,3,1,0,0
12,0.5,full,0.1021746490452217,4,1,0,0
12,0.5,full,0.0955716288236811,5,1,0,0
12,0.5,full,0.0882740671087566,6,1,0,0
12,0.5,full,0.0790239169408943,7,1,1,1
12,0.5,full,0.082371328019001,8,1,1,1
12,0.5,full,0.0856340933075735,9,1,1,1
12,0.5,full,0.0884251888891453,10,0,0,1
12,0.5,full,0.09097100988978,11,1,1,1
12,0.5,full,0.0934070518508871,12,0,0,1
12,0.5,full,0.0957457562427895,13,1,0,0
12,0.5,full,0.0885748720811636,14,1,1,1
12,0.5,full,0.0910978666121773,15,1,1,1
12,0.5,full,0.0935129072269806,16,0,0,1
12,0.5,full,0.0958321470943475,17,1,1,1
12,0.5,full,0.0980660575974725,18,0,0,1
12,0.5,full,0.1002237541858741,19,0,0,1
12,0.5,full,0.1023132455864295,20,0,0,1
12,0.5,full,0.104341627422544,21,0,0,1
12,0.5,full,0.1063152347748735,22,1,1,1
12,0.5,full,0.108239763924602,23,1,1,1
12,0.5,full,0.1101203706283749,24,0,1,0
12,0.5,full,0.104361875095635,25,1,1,1
12,0.5,full,0.1063210867929998,26,1,1,1
12,0.5,full,0.1082318107407799,27,0,0,1
12,0.5,full,0.1100991180109084,28,0,0,1
12,0.5,full,0.111927629560486,29,0,1,0
12,0.5,full,0.106327557335776,30,0,1,0
12,0.5,full,0.100377448801764,31,1,1,1
12,0.5,full,0.1024199229303817,32,0,0,1
12,0.5,full,0.1044036454650153,33,1,0,0
12,0.5,full,0.0983368902512857,34,1,0,0
12,0.5,full,0.0917164078383385,35,0,0,1
12,0.5,full,0.0940310967822664,36,0,0,1
12,0.5,full,0.0962571715317159,37,1,1,1
12,0.5,full,0.0984040320708979,38,1,1,1
12,0.5,full,0.1004799082038694,39,0,0,1
10,2.0,0.5,0.0634999999999998,0,0,0,1
10,2.0,0.5,0.0871411516093318,1,1,1,1
10,2.0,0.5,0.0896672121488474,2,0,0,1
10,2.0,0.5,0.0921035078641084,3,0,1,0
10,2.0,0.5,0.0845553160168616,4,0,0,1
10,2.0,0.5,0.0871631341232345,5,1,1,1
10,2.0,0.5,0.0896700899603491,6,0,1,0
10,2.0,0.5,0.0818970249215383,7,1,1,1
10,2.0,0.5,0.0845982311562093,8,1,0,0
10,2.0,0.5,0.0761972517537709,9,0,1,0
10,2.0,0.5,0.0663682726941245,10,0,0,1
10,2.0,0.5,0.0699089598326858,11,0,0,1
10,2.0,0.5,0.0732103123826092,12,1,1,1
10,2.0,0.5,0.0763113074428557,13,1,1,1
10,2.0,0.5,0.0792421707914708,14,1,1,1
10,2.0,0.5,0.082026950259829,15,0,1,0
