Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Eccentricity,Response
0,8,4,0.06108171154358725,0,0,0,25,1
0,8,4,0.08550634684579148,1,0,0,25,1
0,8,4,0.0880886205102437,2,0,0,25,1
0,8,4,0.090575831829923,3,0,1,25,0
0,8,4,0.08285899943648485,4,0,0,25,1
0,8,4,0.08552883451747936,5,0,1,25,0
0,8,4,0.0772230500661937,6,1,0,25,0
0,8,4,0.0675816146979055,7,1,0,25,0
0,8,4,0.05472306146847783,8,1,1,25,1
0,8,4,0.059885835156967195,9,0,0,25,1
0,8,4,0.06407988871109842,10,0,0,25,1
0,8,4,0.06776390920255594,11,1,0,25,0
0,8,4,0.05509601484939278,12,1,1,25,1
0,8,4,0.06020100514098242,13,0,0,25,1
0,8,4,0.06429995063378392,14,1,1,25,1
0,8,4,0.06794440561309192,15,1,1,25,1
0,8,4,0.07133109917029996,16,0,0,25,1
0,8,4,0.07450367135686518,17,1,1,25,1
0,8,4,0.0774955249734908,18,0,1,25,0
0,8,4,0.06812312400015004,19,1,1,25,1
0,8,4,0.07147648966041359,20,1,1,25,1
0,8,4,0.07461986888408484,21,1,0,25,0
0,8,4,0.0647324918824172,22,0,0,25,1
0,8,4,0.06830008447654053,23,1,1,25,1
0,8,4,0.07162069977857866,24,1,1,25,1
0,8,4,0.07473535188277695,25,0,1,25,0
0,8,4,0.06494505259123586,26,0,1,25,0
0,8,4,0.051213343502337944,27,1,1,25,1
0,8,4,0.0565408036152894,28,0,0,25,1
0,8,4,0.0613733195305046,29,1,1,25,1
0,8,4,0.06515519309626518,30,0,1,25,0
0,8,4,0.05162882017207894,31,1,1,25,1
0,8,4,0.056890859762625555,32,0,0,25,1
0,8,4,0.06162358125795987,33,0,0,25,1
0,8,4,0.06536295232357366,34,0,0,25,1
0,8,4,0.06882061963848092,35,0,1,25,0
0,8,4,0.05723668925109475,36,1,1,25,1
0,8,4,0.06187062029247735,37,0,1,25,0
0,8,4,0.046750426301267224,38,1,1,25,1
0,8,4,0.052441449369589485,39,1,1,25,1
1,8,4,0.05050000000000003,0,1,1,5,1
1,8,4,0.07885618815892215,1,1,0,5,0
1,8,4,0.06950591265790582,2,1,1,5,1
1,8,4,0.07281243247096962,3,0,1,5,0
1,8,4,0.06233179601084742,4,1,1,5,1
1,8,4,0.0661071869388981,5,0,0,5,1
1,8,4,0.06960944176175954,6,0,0,5,1
1,8,4,0.0728870222679187,7,0,0,5,1
1,8,4,0.07597654200481219,8,1,1,5,1
1,8,4,0.07890652230007181,9,1,1,5,1
1,8,4,0.08169974303017725,10,0,0,5,1
1,8,4,0.08437478209584973,11,1,1,5,1
1,8,4,0.08694706189205935,12,1,1,5,1
1,8,4,0.08942958323577005,13,1,1,5,1
1,8,4,0.0918334539757785,14,1,1,5,1
1,8,4,0.09416827856277832,15,0,0,5,1
1,8,4,0.09644245095897261,16,0,0,5,1
1,8,4,0.09866337879241319,17,0,0,5,1
1,8,4,0.10083765760888415,18,1,1,5,1
1,8,4,0.10295739390680962,19,0,0,5,1
1,8,4,0.10504280430252365,20,0,1,5,0
1,8,4,0.09903084323506525,21,1,1,5,1
1,8,4,0.10118357128997832,22,0,0,5,1
1,8,4,0.1032833755034327,23,0,1,5,0
1,8,4,0.09723295566804535,24,1,1,5,1
1,8,4,0.09940741849344288,25,0,0,5,1
1,8,4,0.10153852711594077,26,1,1,5,1
1,8,4,0.10361832675126975,27,0,1,5,0
1,8,4,0.09762645678526727,28,1,1,5,1
1,8,4,0.09977825381682481,29,1,1,5,1
1,8,4,0.10188827686500576,30,0,1,5,0
1,8,4,0.09585361953292501,31,1,1,5,1
1,8,4,0.09802862911842829,32,1,1,5,1
1,8,4,0.1001577292292605,33,0,0,5,1
1,8,4,0.10224662521063488,34,0,0,5,1
1,8,4,0.10428732165721236,35,0,0,5,1
1,8,4,0.10629862662574675,36,1,0,5,0
1,8,4,0.10050330326770236,37,0,0,5,1
1,8,4,0.10257268345653626,38,1,1,5,1
1,8,4,0.10459526597598685,39,0,0,5,1
2,8,4,0.05284570741708491,0,0,1,20,0
2,8,4,0.06769328463388541,1,0,0,20,1
2,8,4,0.07112670781866846,2,0,1,20,0
2,8,4,0.060208638475320236,3,0,0,20,1
2,8,4,0.0641721657901719,4,0,1,20,0
2,8,4,0.05103337953822864,5,0,0,20,1
2,8,4,0.0561164459856834,6,0,0,20,1
2,8,4,0.06041933905268138,7,1,1,20,1
2,8,4,0.06433997592099251,8,1,0,20,0
2,8,4,0.051416366789504925,9,1,1,20,1
2,8,4,0.056376258112936985,10,1,1,20,1
2,8,4,0.06062776938954574,11,1,1,20,1
2,8,4,0.06450633699308528,12,1,1,20,1
2,8,4,0.06808820744656538,13,1,1,20,1
2,8,4,0.07142783829729038,14,0,1,20,0
2,8,4,0.060833960029654556,15,1,1,20,1
2,8,4,0.06467125765806797,16,1,1,20,1
2,8,4,0.06821818333051999,17,1,1,20,1
2,8,4,0.07152751830322711,18,1,0,20,0
2,8,4,0.06103794131005404,19,0,0,20,1
2,8,4,0.06483474707616997,20,0,0,20,1
2,8,4,0.06834731807966218,21,1,1,20,1
2,8,4,0.07162682481194434,22,1,1,20,1
2,8,4,0.07471164841797422,23,1,1,20,1
2,8,4,0.07763151083111067,24,0,1,20,0
