Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Eccentricity,Response
4,8,4,0.0725,0,0,0,0,1
4,8,4,0.0935420673070817,1,1,1,0,1
4,8,4,0.0958678270724872,2,0,0,0,1
4,8,4,0.0981211683809843,3,0,0,0,1
4,8,4,0.1003103004069755,4,0,0,0,1
4,8,4,0.1024424909774369,5,1,1,0,1
4,8,4,0.1045242277579927,6,0,0,0,1
4,8,4,0.1065613462829134,7,1,1,0,1
4,8,4,0.108559132877565,8,0,0,0,1
4,8,4,0.1105224083083491,9,1,1,0,1
4,8,4,0.1124555964562929,10,0,0,0,1
4,8,4,0.1143504617332418,11,0,0,0,1
4,8,4,0.1162239441247372,12,0,0,0,1
4,8,4,0.1180794964601508,13,1,0,0,0
4,8,4,0.1127486910315598,14,0,0,0,1
4,8,4,0.1146275505393208,15,1,1,0,1
4,8,4,0.1164858652734433,16,0,1,0,0
4,8,4,0.1111514711421922,17,0,0,0,1
4,8,4,0.1130503773143952,18,0,0,0,1
4,8,4,0.1149131453314824,19,0,1,0,0
4,8,4,0.1095701267625193,20,1,1,0,1
4,8,4,0.1114786609043669,21,0,0,0,1
4,8,4,0.1133603151098496,22,1,0,0,0
4,8,4,0.1080037269166731,23,1,1,0,1
4,8,4,0.1099236368645648,24,0,0,0,1
4,8,4,0.1118138091637504,25,1,1,0,1
4,8,4,0.1136781678151169,26,1,1,0,1
4,8,4,0.1155085804302765,27,0,0,0,1
4,8,4,0.1173209764701608,28,0,0,0,1
4,8,4,0.1191184717843607,29,1,1,0,1
4,8,4,0.1209040083265404,30,1,1,0,1
4,8,4,0.1226803768159197,31,0,1,0,0
4,8,4,0.1175696714426152,32,1,0,0,0
4,8,4,0.1124080709975611,33,0,0,0,1
4,8,4,0.1142291891968171,34,0,0,0,1
4,8,4,0.1160305829634896,35,0,0,0,1
4,8,4,0.1178154085553722,36,1,1,0,1
4,8,4,0.1195866386329646,37,0,0,0,1
4,8,4,0.1213470860675899,38,1,1,0,1
4,8,4,0.1230994245801955,39,1,1,0,1
1,8,4,0.0505,0,1,1,5,1
1,8,4,0.0788561881589221,1,1,0,5,0
1,8,4,0.0695059126579058,2,1,1,5,1
1,8,4,0.0728124324709696,3,0,1,5,0
1,8,4,0.0623317960108474,4,1,1,5,1
1,8,4,0.0661071869388981,5,0,0,5,1
1,8,4,0.0696094417617595,6,0,0,5,1
1,8,4,0.0728870222679187,7,0,0,5,1
1,8,4,0.0759765420048121,8,1,1,5,1
1,8,4,0.0789065223000718,9,1,1,5,1
1,8,4,0.0816997430301772,10,0,0,5,1
1,8,4,0.0843747820958497,11,1,1,5,1
1,8,4,0.0869470618920593,12,1,1,5,1
1,8,4,0.08942958323577,13,1,1,5,1
1,8,4,0.0918334539757785,14,1,1,5,1
1,8,4,0.0941682785627783,15,0,0,5,1
1,8,4,0.0964424509589726,16,0,0,5,1
1,8,4,0.0986633787924131,17,0,0,5,1
1,8,4,0.1008376576088841,18,1,1,5,1
1,8,4,0.1029573939068096,19,0,0,5,1
1,8,4,0.1050428043025236,20,0,1,5,0
1,8,4,0.0990308432350652,21,1,1,5,1
1,8,4,0.1011835712899783,22,0,0,5,1
1,8,4,0.1032833755034327,23,0,1,5,0
1,8,4,0.0972329556680453,24,1,1,5,1
1,8,4,0.0994074184934428,25,0,0,5,1
1,8,4,0.1015385271159407,26,1,1,5,1
1,8,4,0.1036183267512697,27,0,1,5,0
1,8,4,0.0976264567852672,28,1,1,5,1
1,8,4,0.0997782538168248,29,1,1,5,1
1,8,4,0.1018882768650057,30,0,1,5,0
1,8,4,0.095853619532925,31,1,1,5,1
1,8,4,0.0980286291184282,32,1,1,5,1
1,8,4,0.1001577292292605,33,0,0,5,1
1,8,4,0.1022466252106348,34,0,0,5,1
1,8,4,0.1042873216572123,35,0,0,5,1
1,8,4,0.1062986266257467,36,1,0,5,0
1,8,4,0.1005033032677023,37,0,0,5,1
1,8,4,0.1025726834565362,38,1,1,5,1
1,8,4,0.1045952659759868,39,0,0,5,1
6,8,4,0.0544999999999999,0,0,0,10,1
6,8,4,0.0812670001891775,1,0,0,10,1
6,8,4,0.0840060717321409,2,1,1,10,1
6,8,4,0.0866342791195525,3,1,1,10,1
6,8,4,0.0891657927215443,4,1,1,10,1
6,8,4,0.0916126519958037,5,0,0,10,1
6,8,4,0.093985215110131,6,0,0,10,1
6,8,4,0.0962924941939954,7,1,1,10,1
6,8,4,0.0985424100139148,8,1,0,10,0
6,8,4,0.0915612449508937,9,0,0,10,1
6,8,4,0.0939175324742484,10,0,1,10,0
6,8,4,0.0866031219381272,11,0,0,10,1
6,8,4,0.0890986504469581,12,0,0,10,1
6,8,4,0.0915115098237299,13,1,0,10,0
6,8,4,0.0840183912681111,14,1,1,10,1
6,8,4,0.0865893685805111,15,0,0,10,1
6,8,4,0.0890672305228292,16,1,0,10,0
6,8,4,0.0813669319132706,17,1,1,10,1
6,8,4,0.0840244066877678,18,1,1,10,1
6,8,4,0.0865767740808067,19,1,1,10,1
6,8,4,0.0890371819573028,20,1,0,10,0
6,8,4,0.0813935998466137,21,0,0,10,1
6,8,4,0.0840313126014379,22,0,1,10,0
6,8,4,0.0758142627100309,23,0,0,10,1
6,8,4,0.0786852921149176,24,1,1,10,1
6,8,4,0.0814208757527562,25,1,0,10,0
6,8,4,0.0728827207714543,26,0,0,10,1
6,8,4,0.0758859089083952,27,0,0,10,1
6,8,4,0.078734042534188,28,0,0,10,1
6,8,4,0.0814487290836587,29,1,1,10,1
6,8,4,0.0840476531161459,30,0,0,10,1
6,8,4,0.0865455378663782,31,0,0,10,1
6,8,4,0.0889548237281991,32,0,1,10,0
6,8,4,0.0814771305959839,33,0,0,10,1
6,8,4,0.0840570198702392,34,1,1,10,1
6,8,4,0.08653718060611,35,1,0,10,0
6,8,4,0.0788323610934927,36,1,1,10,1
6,8,4,0.0815060522909129,37,0,1,10,0
6,8,4,0.0731714648633413,38,0,0,10,1
6,8,4,0.0761006174009715,39,0,0,10,1
3,8,4,0.0499999999999999,0,0,0,15,1
3,8,4,0.0785643810454181,1,1,1,15,1
3,8,4,0.0814126179241133,2,0,1,15,0
3,8,4,0.0724911863392741,3,1,0,15,0
3,8,4,0.061944266699283,4,1,1,15,1
3,8,4,0.0657462262336709,5,1,1,15,1
3,8,4,0.0692702830413169,6,0,0,15,1
3,8,4,0.0725661725171462,7,0,0,15,1
3,8,4,0.0756713550488534,8,0,0,15,1
